Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1770539557,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1770539558,5,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1770539559,10,,Aggregated,0.000000,0.000000,1300,1300,1300,1300,1500,1500,1500,1500,1500,1500,1500,10,0,380.0,845.2363249999507,295.6791249998787,1463.8946250001936,103467.5
1770539560,15,,Aggregated,0.000000,0.000000,380,450,1300,1300,1300,1500,1500,1500,1500,1500,1500,16,0,380.0,652.4257760624437,100.04929199976687,1463.8946250001936,91265.3125
1770539561,20,,Aggregated,0.000000,0.000000,320,350,380,450,1300,1300,1500,1500,1500,1500,1500,28,0,320.0,454.7032068214126,85.85858400010693,1463.8946250001936,73992.32142857143
1770539562,25,,Aggregated,5.333333,0.000000,310,340,350,380,1300,1300,1500,1500,1500,1500,1500,41,0,310.0,368.1868596585135,85.85858400010693,1463.8946250001936,83599.87804878049
1770539563,30,,Aggregated,7.000000,0.000000,290,310,340,340,450,1300,1300,1500,1500,1500,1500,58,0,260.0,311.2128878620783,85.85858400010693,1463.8946250001936,84747.58620689655
1770539564,35,,Aggregated,7.000000,0.000000,110,310,320,340,420,1300,1300,1500,1500,1500,1500,79,0,110.0,271.6740420886121,84.42879099993661,1463.8946250001936,89857.02531645569
1770539565,40,,Aggregated,9.500000,0.000000,110,290,310,320,380,470,1300,1300,1500,1500,1500,103,0,110.0,243.35223936894235,84.42879099993661,1463.8946250001936,86913.20388349515
1770539566,45,,Aggregated,11.285714,0.000000,110,260,310,310,370,470,1300,1300,1500,1500,1500,127,0,110.0,224.73655860631328,84.42879099993661,1463.8946250001936,87477.28346456694
1770539567,50,,Aggregated,12.750000,0.000000,110,180,290,310,340,450,1300,1300,1500,1500,1500,154,0,110.0,210.60651584417286,84.42879099993661,1463.8946250001936,83581.52597402598
1770539568,50,,Aggregated,14.000000,0.000000,110,130,270,300,340,380,1300,1300,1500,1500,1500,182,0,110.0,194.3780621648524,84.42879099993661,1463.8946250001936,85088.54395604396
1770539569,50,,Aggregated,15.100000,0.000000,110,120,240,280,320,380,1300,1300,1500,1500,1500,210,0,110.0,185.28947132383445,84.42879099993661,1463.8946250001936,84333.33333333333
1770539570,50,,Aggregated,17.800000,0.000000,100,110,170,260,320,380,1300,1300,1500,1500,1500,236,0,100.0,176.74670150849667,84.42879099993661,1463.8946250001936,85062.26694915254
1770539571,50,,Aggregated,17.800000,0.000000,100,110,140,230,310,370,710,1300,1500,1500,1500,267,0,100.0,168.38724162173506,83.47829199965418,1463.8946250001936,85857.3595505618
1770539572,50,,Aggregated,21.900000,0.000000,100,110,120,170,310,350,710,1300,1500,1500,1500,296,0,100.0,161.65140658109826,83.47829199965418,1463.8946250001936,86079.45945945945
1770539573,50,,Aggregated,23.900000,0.000000,100,110,120,150,310,340,470,1300,1500,1500,1500,316,0,100.0,158.50743491140406,83.47829199965418,1463.8946250001936,87592.07278481012
1770539574,50,,Aggregated,25.300000,0.000000,100,110,120,140,310,340,470,1300,1500,1500,1500,347,0,100.0,153.77541683574486,83.47829199965418,1463.8946250001936,88977.63688760807
1770539575,50,,Aggregated,25.600000,0.000000,100,110,120,130,300,340,470,1300,1500,1500,1500,372,0,100.0,150.97337090592617,83.47829199965418,1463.8946250001936,89395.5376344086
1770539576,50,,Aggregated,26.400000,0.000000,100,110,110,130,290,320,450,1300,1500,1500,1500,403,0,100.0,147.3250623920688,83.47829199965418,1463.8946250001936,89966.40198511166
1770539577,50,,Aggregated,26.700000,0.000000,100,110,110,120,280,320,450,1300,1500,1500,1500,428,0,100.0,144.7005204930001,83.47829199965418,1463.8946250001936,90069.82476635514
1770539578,50,,Aggregated,27.500000,0.000000,100,110,110,120,270,320,420,1300,1500,1500,1500,456,0,100.0,142.86833602632353,82.91829100016912,1463.8946250001936,89605.80043859649
1770539579,50,,Aggregated,27.500000,0.000000,100,110,110,120,270,320,450,1300,1500,1500,1500,481,0,100.0,142.33345196882146,82.91829100016912,1463.8946250001936,90258.04573804574
1770539580,50,,Aggregated,27.600000,0.000000,100,110,110,120,260,320,420,710,1500,1500,1500,509,0,100.0,140.21336751277622,82.91829100016912,1463.8946250001936,91581.93516699411
1770539581,50,,Aggregated,27.100000,0.000000,100,110,110,120,260,310,420,710,1500,1500,1500,537,0,100.0,138.40411829609744,82.91829100016912,1463.8946250001936,90098.30540037244
1770539582,50,,Aggregated,27.300000,0.000000,100,110,110,120,240,310,380,710,1500,1500,1500,560,0,100.0,137.1926893303663,82.91829100016912,1463.8946250001936,88999.6875
